,365_APAR_511.11,369_APAR_512.12,373_APAR_513.13,377_APAR_514.14,381_APAR_515.15,385_APAR_516.16,389_APAR_517.17,393_APAR_518.18,397_APAR_519.19,401_APAR_520.20,405_APAR_521.21,409_APAR_522.22,413_APAR_523.23,691_FIF_504.4,693_FIF_505.5,695_FIF_506.6
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,
2019-01-31 23:45:36,23.2,23.0,17.2,11.7,6.7,22.9,22.7,20.8,18.5,21.3,21.1,19.0,16.8,24.1,24.9,21.9
2019-01-31 23:52:48,23.2,23.0,17.2,11.7,6.7,22.9,22.7,20.8,18.5,21.3,21.1,19.0,16.8,24.1,24.9,21.9
2019-02-01 00:00:00,23.2,23.0,17.2,11.7,6.7,22.9,22.7,20.8,18.5,21.3,21.1,19.0,16.8,24.1,24.9,21.9
2019-02-01 00:07:12,23.2,23.0,17.2,11.7,6.8,22.9,22.7,20.8,18.5,21.3,21.1,19.0,16.8,24.1,24.9,21.9
2019-02-01 00:14:24,23.2,23.0,17.2,11.7,6.8,22.9,22.7,20.8,18.5,21.3,21.1,19.0,16.8,24.1,24.9,21.9
2019-02-01 00:21:36,23.2,23.0,17.2,11.8,6.8,22.9,22.7,20.8,18.5,21.3,21.1,19.0,16.8,24.1,24.9,21.9
2019-02-01 00:28:48,23.2,23.0,17.2,11.8,6.8,22.9,22.7,20.8,18.5,21.3,21.1,19.0,16.8,24.1,24.9,21.9
2019-02-01 00:36:00,23.2,23.0,17.2,11.8,6.8,22.9,22.7,20.8,18.5,21.3,21.1,19.0,16.8,24.1,24.9,21.9
2019-02-01 00:43:12,23.2,23.0,17.2,11.8,6.8,22.9,22.7,20.8,18.5,21.3,21.1,19.0,16.8,24.1,24.9,21.9
2019-02-01 00:50:24,23.2,23.0,17.2,11.8,6.8,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.9,21.9
2019-02-01 00:57:36,23.2,23.0,17.2,11.8,6.8,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.9,21.9
2019-02-01 01:04:48,23.2,23.1,17.2,11.8,6.8,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.9,21.9
2019-02-01 01:12:00,23.2,23.1,17.2,11.8,6.8,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.9,21.9
2019-02-01 01:19:12,23.2,23.1,17.2,11.8,6.8,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.9,21.9
2019-02-01 01:26:24,23.2,23.1,17.2,11.8,6.8,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.9,21.9
2019-02-01 01:33:36,23.2,23.1,17.2,11.8,6.8,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.9,21.9
2019-02-01 01:40:48,23.2,23.1,17.2,11.8,6.8,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.9,21.9
2019-02-01 01:48:00,23.2,23.1,17.2,11.8,6.9,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.9,21.9
2019-02-01 01:55:12,23.2,23.1,17.2,11.8,6.9,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.9,21.9
2019-02-01 02:02:24,23.2,23.1,17.3,11.8,6.9,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.9,21.9
2019-02-01 02:09:36,23.2,23.1,17.3,11.8,6.9,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.9,21.9
2019-02-01 02:16:48,23.2,23.1,17.3,11.8,6.9,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.9,21.9
2019-02-01 02:24:00,23.2,23.1,17.3,11.8,6.9,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.9,21.9
2019-02-01 02:31:12,23.2,23.1,17.3,11.9,6.9,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.9,21.9
2019-02-01 02:38:24,23.2,23.1,17.3,11.9,6.9,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.9,21.9
