,137_APAR_213.1,145_APAR_214.2,149_APAR_215.3,153_APAR_216.4,157_APAR_217.5,161_APAR_218.6,165_APAR_219.7,169_APAR_220.8,173_APAR_221.9,177_APAR_222.10,181_APAR_223.11,185_APAR_224.12,189_APAR_225.13,193_APAR_226.14,197_APAR_227.15,201_APAR_228.16,205_APAR_229.17,209_APAR_230.18,213_APAR_231.19,217_APAR_232.20,221_APAR_233.21,225_APAR_234.22,229_APAR_235.23,233_APAR_236.24,237_APAR_237.25,241_APAR_238.26,245_APAR_239.27,249_APAR_240.28,3809_APAR_16.16,3813_APAR_17.17,3817_APAR_18.18,657_FIF_203.3,659_FIF_204.4,661_FIF_205.5,663_FIF_206.6,665_FIF_207.7
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-20 23:45:36,21.9,21.5,20.4,15.2,10.7,21.1,20.2,18.1,13.9,9.0,27.6,23.7,20.2,29.0,22.9,18.6,27.1,19.8,11.2,,,,,,,,,,,,,24.7,26.7,24.7,25.9,25.6
2019-01-20 23:52:48,21.9,21.5,20.4,15.2,10.7,21.1,20.2,18.1,13.9,9.0,27.7,23.7,20.2,29.1,22.9,18.6,27.1,19.8,11.2,,,,,,,,,,9.0,10.6,13.4,24.7,26.7,24.7,25.9,25.6
2019-01-21 00:00:00,21.9,21.5,20.4,15.2,10.7,21.1,20.2,18.1,13.9,9.0,27.7,23.7,20.2,29.1,22.9,18.6,27.1,19.8,11.2,,,,,,,,,,9.0,10.6,13.4,24.7,26.7,24.7,25.9,25.6
2019-01-21 00:07:12,21.9,21.5,20.4,15.2,10.7,21.1,20.2,18.1,13.9,9.0,27.7,23.7,20.2,29.1,22.9,18.6,27.0,19.8,11.2,,,,,,,,,,9.0,10.6,13.4,24.7,26.7,24.7,25.8,25.6
2019-01-21 00:14:24,21.9,21.5,20.4,15.2,10.7,21.1,20.2,18.1,13.9,9.0,27.7,23.7,20.2,29.1,22.9,18.6,27.0,19.8,11.2,,,,,,,,,,9.0,10.6,13.4,24.7,26.7,24.7,25.8,25.6
2019-01-21 00:21:36,21.9,21.5,20.4,15.2,10.7,21.1,20.2,18.1,13.9,9.0,27.8,23.7,20.2,29.0,22.9,18.6,27.0,19.8,11.3,,,,,,,,,,9.1,10.6,13.4,24.7,26.7,24.7,25.8,25.6
2019-01-21 00:28:48,21.9,21.5,20.4,15.2,10.7,21.1,20.2,18.1,13.9,9.0,27.8,23.7,20.2,29.0,22.9,18.6,27.0,19.8,11.3,,,,,,,,,,9.1,10.6,13.4,24.7,26.7,24.7,25.8,25.6
2019-01-21 00:36:00,21.9,21.5,20.4,15.2,10.7,21.1,20.2,18.1,13.9,9.0,27.9,23.7,20.2,29.0,22.9,18.6,26.9,19.8,11.3,,,,,,,,,,9.1,10.6,13.4,24.6,26.7,24.7,25.8,25.6
