,10_APAR_32.3,14_APAR_33.4,18_APAR_34.5,2_APAR_30.1,6_APAR_31.2,648_FIF_11.11
,avg,avg,avg,avg,avg,avg
Time,,,,,,
2019-01-30 23:45:36,12.2,5.6,0.8,13.9,13.5,15.9
2019-01-30 23:52:48,12.2,5.6,0.8,13.9,13.4,15.9
2019-01-31 00:00:00,12.2,5.6,0.8,13.9,13.4,15.9
2019-01-31 00:07:12,12.2,5.6,0.8,13.8,13.4,15.8
2019-01-31 00:14:24,12.2,5.6,0.8,13.8,13.4,15.8
2019-01-31 00:21:36,12.2,5.6,0.8,13.8,13.4,15.8
2019-01-31 00:28:48,12.2,5.6,0.8,13.8,13.4,15.8
2019-01-31 00:36:00,12.2,5.5,0.8,13.7,13.3,15.8
2019-01-31 00:43:12,12.2,5.5,0.8,13.7,13.3,15.8
2019-01-31 00:50:24,12.2,5.5,0.8,13.7,13.3,15.8
2019-01-31 00:57:36,12.2,5.5,0.8,13.7,13.3,15.8
2019-01-31 01:04:48,12.1,5.5,0.8,13.8,13.3,15.8
2019-01-31 01:12:00,12.1,5.5,0.8,13.8,13.3,15.8
2019-01-31 01:19:12,12.1,5.5,0.7,13.8,13.3,15.9
2019-01-31 01:26:24,12.1,5.5,0.7,13.8,13.3,15.9
2019-01-31 01:33:36,12.1,5.5,0.7,13.8,13.4,15.8
2019-01-31 01:40:48,12.1,5.5,0.7,13.8,13.4,15.8
2019-01-31 01:48:00,12.1,5.5,0.7,13.8,13.3,15.7
2019-01-31 01:55:12,12.1,5.5,0.7,13.8,13.3,15.7
2019-01-31 02:02:24,12.1,5.5,0.7,13.7,13.3,15.7
2019-01-31 02:09:36,12.1,5.5,0.7,13.7,13.3,15.7
2019-01-31 02:16:48,12.1,5.5,0.7,13.7,13.3,15.6
2019-01-31 02:24:00,12.1,5.5,0.7,13.7,13.3,15.6
2019-01-31 02:31:12,12.1,5.5,0.7,13.7,13.3,15.6
2019-01-31 02:38:24,12.1,5.5,0.7,13.7,13.3,15.6
2019-01-31 02:45:36,12.1,5.4,0.7,13.7,13.3,15.7
2019-01-31 02:52:48,12.1,5.4,0.7,13.7,13.3,15.7
2019-01-31 03:00:00,12.1,5.4,0.7,13.7,13.3,15.7
2019-01-31 03:07:12,12.1,5.4,0.7,13.7,13.3,15.7
2019-01-31 03:14:24,12.1,5.4,0.7,13.7,13.3,15.7
2019-01-31 03:21:36,12.1,5.4,0.7,13.7,13.3,15.6
2019-01-31 03:28:48,12.1,5.4,0.7,13.7,13.3,15.6
2019-01-31 03:36:00,12.0,5.4,0.7,13.7,13.2,15.6
2019-01-31 03:43:12,12.0,5.4,0.7,13.7,13.2,15.6
2019-01-31 03:50:24,12.0,5.4,0.7,13.6,13.2,15.6
2019-01-31 03:57:36,12.0,5.4,0.7,13.6,13.2,15.6
2019-01-31 04:04:48,12.0,5.4,0.7,13.6,13.2,15.6
2019-01-31 04:12:00,12.0,5.4,0.7,13.6,13.2,15.6
2019-01-31 04:19:12,12.0,5.4,0.7,13.7,13.2,15.6
2019-01-31 04:26:24,12.0,5.4,0.7,13.7,13.2,15.6
2019-01-31 04:33:36,12.0,5.4,0.7,13.6,13.2,15.5
2019-01-31 04:40:48,12.0,5.4,0.7,13.6,13.2,15.5
2019-01-31 04:48:00,12.0,5.4,0.6,13.6,13.2,15.6
2019-01-31 04:55:12,12.0,5.4,0.6,13.6,13.2,15.6
2019-01-31 05:02:24,12.0,5.4,0.6,13.6,13.1,15.6
2019-01-31 05:09:36,12.0,5.4,0.6,13.6,13.1,15.6
2019-01-31 05:16:48,11.9,5.4,0.6,13.5,13.1,15.7
2019-01-31 05:24:00,11.9,5.4,0.6,13.5,13.1,15.7
