,4146_MBUS Bmeters,4147_MBUS Bmeters,4150_MBUS Bmeters,4153_MBUS Bmeters,4155_MBUS Bmeters,4156_MBUS Bmeters,4157_MBUS Bmeters,4158_MBUS Bmeters,4159_MBUS Bmeters
,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,
2019-01-30 23:45:36,0.825,0.345,0.251,0.296,0.175,1.073,0.24,2.569,0.185
2019-01-30 23:52:48,0.825,0.345,0.251,0.296,0.175,1.073,0.24,2.569,0.185
2019-01-31 00:00:00,0.825,0.345,0.251,0.296,0.175,1.073,0.24,2.569,0.185
2019-01-31 00:07:12,0.825,0.345,0.251,0.296,0.175,1.073,0.24,2.569,0.185
2019-01-31 00:14:24,0.825,0.345,0.251,0.296,0.175,1.073,0.24,2.569,0.185
2019-01-31 00:21:36,0.825,0.345,0.251,0.296,0.175,1.073,0.24,2.569,0.185
2019-01-31 00:28:48,0.825,0.345,0.251,0.296,0.175,1.073,0.24,2.569,0.185
2019-01-31 00:36:00,0.825,0.345,0.251,0.296,0.175,1.073,0.24,2.569,0.185
2019-01-31 00:43:12,0.825,0.345,0.251,0.296,0.175,1.073,0.24,2.569,0.185
2019-01-31 00:50:24,0.825,0.345,0.251,0.296,0.175,1.073,0.24,2.569,0.185
2019-01-31 00:57:36,0.825,0.345,0.251,0.296,0.175,1.073,0.24,2.569,0.185
2019-01-31 01:04:48,0.825,0.345,0.251,0.296,0.175,1.073,0.24,2.569,0.185
2019-01-31 01:12:00,0.825,0.345,0.251,0.296,0.175,1.073,0.24,2.569,0.185
2019-01-31 01:19:12,0.825,0.345,0.251,0.296,0.175,1.073,0.24,2.569,0.185
2019-01-31 01:26:24,0.825,0.345,0.251,0.296,0.175,1.073,0.24,2.569,0.185
2019-01-31 01:33:36,0.825,0.345,0.251,0.296,0.175,1.073,0.24,2.569,0.185
2019-01-31 01:40:48,0.825,0.345,0.251,0.296,0.175,1.073,0.24,2.569,0.185
2019-01-31 01:48:00,0.825,0.345,0.251,0.296,0.175,1.073,0.24,2.569,0.185
2019-01-31 01:55:12,0.825,0.345,0.251,0.296,0.175,1.073,0.24,2.569,0.185
2019-01-31 02:02:24,0.825,0.345,0.251,0.296,0.175,1.073,0.24,2.569,0.185
2019-01-31 02:09:36,0.825,0.345,0.251,0.296,0.175,1.073,0.24,2.569,0.185
