,137_APAR_213.1,145_APAR_214.2,149_APAR_215.3,153_APAR_216.4,157_APAR_217.5,161_APAR_218.6,165_APAR_219.7,169_APAR_220.8,173_APAR_221.9,177_APAR_222.10,181_APAR_223.11,185_APAR_224.12,189_APAR_225.13,193_APAR_226.14,197_APAR_227.15,201_APAR_228.16,205_APAR_229.17,209_APAR_230.18,213_APAR_231.19,217_APAR_232.20,221_APAR_233.21,225_APAR_234.22,229_APAR_235.23,233_APAR_236.24,237_APAR_237.25,241_APAR_238.26,245_APAR_239.27,249_APAR_240.28,3809_APAR_16.16,3813_APAR_17.17,3817_APAR_18.18,657_FIF_203.3,659_FIF_204.4,661_FIF_205.5,663_FIF_206.6,665_FIF_207.7
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-17 23:45:36,21.7,21.3,20.4,16.2,12.6,21.0,20.3,18.6,15.1,11.3,28.0,24.0,20.5,27.3,21.2,17.5,25.7,18.6,10.7,,,,,,,,,,,,,24.5,26.7,24.7,25.5,25.0
2019-01-17 23:52:48,21.7,21.3,20.4,16.2,12.6,21.0,20.3,18.6,15.1,11.3,28.0,24.0,20.5,27.4,21.2,17.5,25.6,18.6,10.7,,,,,,,,,,8.4,10.6,13.5,24.5,26.7,24.7,25.5,25.0
2019-01-18 00:00:00,21.7,21.3,20.4,16.2,12.6,21.0,20.3,18.6,15.1,11.3,28.0,24.0,20.5,27.4,21.2,17.5,25.6,18.6,10.7,,,,,,,,,,8.4,10.6,13.5,24.5,26.7,24.7,25.5,25.0
2019-01-18 00:07:12,21.7,21.3,20.4,16.2,12.6,21.0,20.3,18.6,15.1,11.3,28.0,24.0,20.5,27.5,21.2,17.5,25.6,18.7,10.7,,,,,,,,,,8.4,10.6,13.5,24.5,26.7,24.7,25.5,25.1
2019-01-18 00:14:24,21.7,21.3,20.4,16.2,12.6,21.0,20.3,18.6,15.1,11.3,28.0,24.0,20.5,27.5,21.2,17.5,25.6,18.7,10.7,,,,,,,,,,8.4,10.6,13.5,24.5,26.7,24.7,25.5,25.1
2019-01-18 00:21:36,21.7,21.3,20.4,16.2,12.6,21.0,20.3,18.6,15.2,11.3,28.0,24.0,20.5,27.5,21.3,17.5,25.5,18.7,10.7,,,,,,,,,,8.4,10.6,13.5,24.5,26.7,24.7,25.5,25.1
2019-01-18 00:28:48,21.7,21.3,20.4,16.2,12.6,21.0,20.3,18.6,15.2,11.3,28.0,24.0,20.5,27.5,21.3,17.5,25.5,18.7,10.7,,,,,,,,,,8.4,10.6,13.5,24.5,26.7,24.7,25.5,25.1
2019-01-18 00:36:00,21.7,21.3,20.4,16.2,12.6,21.0,20.3,18.7,15.2,11.3,28.0,24.0,20.5,27.6,21.3,17.5,25.5,18.7,10.7,,,,,,,,,,8.4,10.6,13.5,24.4,26.7,24.7,25.4,25.1
