,101_APAR_127.17,105_APAR_128.18,109_APAR_129.19,113_APAR_130.20,117_APAR_131.21,121_APAR_132.22,125_APAR_133.23,129_APAR_134.24,133_APAR_135.25,22_APAR_111.1,26_APAR_112.2,3821_APAR_19.19,3825_APAR_20.20,45_APAR_113.3,49_APAR_114.4,53_APAR_115.5,57_APAR_116.6,61_APAR_117.7,65_APAR_118.8,651_FIF_104.4,653_FIF_105.5,655_FIF_106.6,69_APAR_119.9,73_APAR_120.10,77_APAR_121.11,81_APAR_122.12,85_APAR_123.13,89_APAR_124.14,93_APAR_125.15,97_APAR_126.16
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-05 23:45:36,25.3,19.5,16.0,,,,,,,22.8,22.3,9.7,9.5,21.0,10.6,1.6,23.4,23.2,22.0,23.4,26.4,23.0,18.0,22.9,22.3,21.3,17.8,26.5,20.7,16.6
2019-02-05 23:52:48,25.4,19.5,16.0,,,,,,,22.8,22.3,9.7,9.5,21.0,10.6,1.6,23.4,23.2,22.0,23.3,26.3,22.9,18.0,22.8,22.3,21.3,17.8,26.5,20.7,16.6
2019-02-06 00:00:00,25.4,19.5,16.0,,,,,,,22.8,22.3,9.7,9.5,21.0,10.6,1.6,23.4,23.2,22.0,23.3,26.3,22.9,18.0,22.8,22.3,21.3,17.8,26.5,20.7,16.6
2019-02-06 00:07:12,25.3,19.5,16.0,,,,,,,22.8,22.3,9.7,9.5,21.0,10.6,1.7,23.4,23.2,22.0,23.3,26.3,23.0,18.0,22.8,22.3,21.3,17.8,26.5,20.7,16.6
2019-02-06 00:14:24,25.3,19.5,16.0,,,,,,,22.8,22.3,9.7,9.5,21.0,10.6,1.7,23.4,23.2,22.0,23.3,26.3,23.0,18.0,22.8,22.3,21.3,17.8,26.5,20.7,16.6
2019-02-06 00:21:36,25.3,19.5,16.0,,,,,,,22.8,22.3,9.7,9.5,21.0,10.6,1.7,23.4,23.2,22.0,23.3,26.3,23.0,18.0,22.8,22.3,21.3,17.8,26.5,20.7,16.6
2019-02-06 00:28:48,25.3,19.5,16.0,,,,,,,22.8,22.3,9.7,9.5,21.0,10.6,1.7,23.4,23.2,22.0,23.3,26.3,23.0,18.0,22.8,22.3,21.3,17.8,26.5,20.7,16.6
2019-02-06 00:36:00,25.3,19.5,16.0,,,,,,,22.8,22.3,9.7,9.5,21.0,10.6,1.7,23.4,23.2,22.0,23.3,26.4,23.0,18.0,22.8,22.3,21.3,17.8,26.5,20.7,16.6
2019-02-06 00:43:12,25.3,19.5,16.0,,,,,,,22.8,22.3,9.7,9.5,21.0,10.6,1.7,23.4,23.2,22.0,23.3,26.4,23.0,18.0,22.8,22.3,21.3,17.8,26.5,20.7,16.6
2019-02-06 00:50:24,25.2,19.5,16.0,,,,,,,22.8,22.3,9.7,9.5,21.0,10.6,1.7,23.4,23.2,22.0,23.3,26.3,23.2,18.0,22.8,22.3,21.3,17.8,26.5,20.7,16.6
2019-02-06 00:57:36,25.2,19.5,16.0,,,,,,,22.8,22.3,9.7,9.5,21.0,10.6,1.7,23.4,23.2,22.0,23.3,26.3,23.2,18.0,22.8,22.3,21.3,17.8,26.5,20.7,16.6
2019-02-06 01:04:48,25.2,19.5,16.0,,,,,,,22.8,22.3,9.7,9.5,21.0,10.6,1.7,23.4,23.2,22.0,23.4,26.4,23.2,18.0,22.8,22.3,21.3,17.8,26.5,20.7,16.6
2019-02-06 01:12:00,25.2,19.5,16.0,,,,,,,22.8,22.3,9.7,9.5,21.0,10.6,1.7,23.4,23.2,22.0,23.4,26.4,23.2,18.0,22.8,22.3,21.3,17.8,26.5,20.7,16.6
2019-02-06 01:19:12,25.3,19.5,16.0,,,,,,,22.8,22.3,9.7,9.5,21.0,10.6,1.7,23.4,23.2,22.0,23.4,26.4,23.2,18.0,22.8,22.3,21.3,17.8,26.5,20.7,16.6
2019-02-06 01:26:24,25.3,19.5,16.0,,,,,,,22.8,22.3,9.7,9.5,21.0,10.6,1.7,23.4,23.2,22.0,23.4,26.4,23.2,18.0,22.8,22.3,21.3,17.8,26.5,20.7,16.6
2019-02-06 01:33:36,25.4,19.5,16.0,,,,,,,22.8,22.3,9.7,9.5,21.0,10.6,1.7,23.4,23.1,22.0,23.4,26.4,23.0,18.0,22.9,22.3,21.3,17.8,26.5,20.7,16.6
2019-02-06 01:40:48,25.4,19.5,16.0,,,,,,,22.8,22.3,9.7,9.5,21.0,10.6,1.7,23.4,23.1,22.0,23.4,26.4,23.0,18.0,22.9,22.3,21.3,17.8,26.5,20.7,16.6
2019-02-06 01:48:00,25.4,19.5,16.0,,,,,,,22.8,22.3,9.7,9.5,21.0,10.6,1.7,23.4,23.1,22.0,23.3,26.3,22.9,18.0,22.8,22.3,21.3,17.8,26.5,20.7,16.6
2019-02-06 01:55:12,25.4,19.5,16.0,,,,,,,22.8,22.3,9.7,9.5,21.0,10.6,1.7,23.4,23.1,22.0,23.3,26.3,22.9,18.0,22.8,22.3,21.3,17.8,26.5,20.7,16.6
2019-02-06 02:02:24,25.4,19.5,16.0,,,,,,,22.8,22.3,9.7,9.5,21.0,10.6,1.7,23.4,23.1,22.0,23.3,26.3,22.9,18.0,22.8,22.3,21.3,17.8,26.5,20.7,16.6
2019-02-06 02:09:36,25.4,19.5,16.0,,,,,,,22.8,22.3,9.7,9.5,21.0,10.6,1.7,23.4,23.1,22.0,23.3,26.3,22.9,18.0,22.8,22.3,21.3,17.8,26.5,20.7,16.6
2019-02-06 02:16:48,25.4,19.5,16.0,,,,,,,22.8,22.3,9.7,9.5,21.0,10.6,1.7,23.4,23.2,22.0,23.3,26.3,23.0,18.0,22.8,22.3,21.3,17.8,26.5,20.7,16.7
