,137_APAR_213.1,145_APAR_214.2,149_APAR_215.3,153_APAR_216.4,157_APAR_217.5,161_APAR_218.6,165_APAR_219.7,169_APAR_220.8,173_APAR_221.9,177_APAR_222.10,181_APAR_223.11,185_APAR_224.12,189_APAR_225.13,193_APAR_226.14,197_APAR_227.15,201_APAR_228.16,205_APAR_229.17,209_APAR_230.18,213_APAR_231.19,217_APAR_232.20,221_APAR_233.21,225_APAR_234.22,229_APAR_235.23,233_APAR_236.24,237_APAR_237.25,241_APAR_238.26,245_APAR_239.27,249_APAR_240.28,3809_APAR_16.16,3813_APAR_17.17,3817_APAR_18.18,657_FIF_203.3,659_FIF_204.4,661_FIF_205.5,663_FIF_206.6,665_FIF_207.7
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-05 23:45:36,20.8,20.4,19.5,15.1,11.3,20.1,19.4,17.7,14.2,10.0,27.0,22.9,19.5,23.9,19.2,16.0,26.6,19.4,10.5,,,,,,,,,,7.9,9.8,12.8,23.9,23.3,21.9,24.6,22.3
2019-02-05 23:52:48,20.8,20.4,19.5,15.1,11.3,20.1,19.4,17.7,14.2,10.0,27.0,22.9,19.5,24.0,19.2,16.0,26.6,19.4,10.5,,,,,,,,,,8.0,9.8,12.8,23.8,23.3,21.9,24.7,22.3
2019-02-06 00:00:00,20.8,20.4,19.5,15.1,11.3,20.1,19.4,17.7,14.2,10.0,27.0,22.9,19.5,24.0,19.2,16.0,26.6,19.4,10.5,,,,,,,,,,8.0,9.8,12.8,23.8,23.3,21.9,24.7,22.3
2019-02-06 00:07:12,20.7,20.4,19.5,15.1,11.3,20.1,19.4,17.7,14.2,10.0,27.0,23.0,19.5,24.0,19.2,16.0,26.6,19.4,10.5,,,,,,,,,,8.0,9.8,12.8,23.8,23.3,21.9,24.7,22.3
2019-02-06 00:14:24,20.7,20.4,19.5,15.1,11.3,20.1,19.4,17.7,14.2,10.0,27.0,23.0,19.5,24.0,19.2,16.0,26.6,19.4,10.5,,,,,,,,,,8.0,9.8,12.8,23.8,23.3,21.9,24.7,22.3
2019-02-06 00:21:36,20.8,20.4,19.5,15.1,11.3,20.1,19.4,17.7,14.2,10.0,26.9,23.0,19.5,24.1,19.2,16.0,26.6,19.4,10.5,,,,,,,,,,7.9,9.8,12.8,23.8,23.3,21.9,24.7,22.3
2019-02-06 00:28:48,20.8,20.4,19.5,15.1,11.3,20.1,19.4,17.7,14.2,10.0,26.9,23.0,19.5,24.1,19.2,16.0,26.6,19.4,10.5,,,,,,,,,,7.9,9.8,12.8,23.8,23.3,21.9,24.7,22.3
2019-02-06 00:36:00,20.8,20.4,19.5,15.1,11.3,20.1,19.4,17.7,14.2,10.0,26.9,23.0,19.5,24.1,19.2,16.0,26.7,19.4,10.5,,,,,,,,,,8.0,9.8,12.8,23.8,23.3,21.9,24.7,22.3
