,365_APAR_511.11,369_APAR_512.12,373_APAR_513.13,377_APAR_514.14,381_APAR_515.15,385_APAR_516.16,389_APAR_517.17,393_APAR_518.18,397_APAR_519.19,401_APAR_520.20,405_APAR_521.21,409_APAR_522.22,413_APAR_523.23,691_FIF_504.4,693_FIF_505.5,695_FIF_506.6
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,
2019-02-05 23:45:36,23.2,23.0,17.1,11.5,6.3,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.9,21.9
2019-02-05 23:52:48,23.2,23.0,17.1,11.5,6.3,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.9,21.9
2019-02-06 00:00:00,23.2,23.0,17.1,11.5,6.3,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.9,21.9
2019-02-06 00:07:12,23.2,23.0,17.1,11.5,6.3,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.9,21.9
2019-02-06 00:14:24,23.2,23.0,17.1,11.5,6.3,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.9,21.9
2019-02-06 00:21:36,23.2,23.0,17.1,11.5,6.3,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.9,21.9
2019-02-06 00:28:48,23.2,23.0,17.1,11.5,6.3,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.9,21.9
2019-02-06 00:36:00,23.2,23.0,17.1,11.5,6.3,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.8,21.9
2019-02-06 00:43:12,23.2,23.0,17.1,11.5,6.3,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.8,21.9
2019-02-06 00:50:24,23.2,23.0,17.1,11.5,6.3,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.8,21.9
2019-02-06 00:57:36,23.2,23.0,17.1,11.5,6.3,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.8,21.9
2019-02-06 01:04:48,23.2,23.0,17.1,11.5,6.3,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.8,21.9
2019-02-06 01:12:00,23.2,23.0,17.1,11.5,6.3,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.8,21.9
2019-02-06 01:19:12,23.2,23.0,17.1,11.5,6.3,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.9,21.9
2019-02-06 01:26:24,23.2,23.0,17.1,11.5,6.3,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.9,21.9
2019-02-06 01:33:36,23.2,23.0,17.1,11.5,6.3,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.9,21.9
2019-02-06 01:40:48,23.2,23.0,17.1,11.5,6.3,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.9,21.9
2019-02-06 01:48:00,23.2,23.0,17.1,11.5,6.3,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.9,21.9
2019-02-06 01:55:12,23.2,23.0,17.1,11.5,6.3,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.9,21.9
2019-02-06 02:02:24,23.2,23.0,17.1,11.5,6.3,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.9,21.9
2019-02-06 02:09:36,23.2,23.0,17.1,11.5,6.3,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.9,21.9
2019-02-06 02:16:48,23.2,23.0,17.1,11.5,6.3,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.9,21.9
2019-02-06 02:24:00,23.2,23.0,17.1,11.5,6.3,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.9,21.9
2019-02-06 02:31:12,23.2,23.0,17.1,11.5,6.3,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.9,21.9
2019-02-06 02:38:24,23.2,23.0,17.1,11.5,6.3,22.9,22.7,20.8,18.5,21.3,21.1,19.1,16.8,24.1,24.9,21.9
