,136_APAR_213.1,144_APAR_214.2,148_APAR_215.3,152_APAR_216.4,156_APAR_217.5,160_APAR_218.6,164_APAR_219.7,168_APAR_220.8,172_APAR_221.9,176_APAR_222.10,180_APAR_223.11,184_APAR_224.12,188_APAR_225.13,192_APAR_226.14,196_APAR_227.15,200_APAR_228.16,204_APAR_229.17,208_APAR_230.18,212_APAR_231.19,216_APAR_232.20,220_APAR_233.21,224_APAR_234.22,228_APAR_235.23,232_APAR_236.24,236_APAR_237.25,240_APAR_238.26,244_APAR_239.27,248_APAR_240.28,3808_APAR_16.16,3812_APAR_17.17,3816_APAR_18.18,656_FIF_203.3,658_FIF_204.4,660_FIF_205.5,662_FIF_206.6,664_FIF_207.7
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-09 23:45:36,27.4,27.4,30.6,40.4,50.3,28.1,30.2,33.7,41.7,52.1,26.2,29.7,37.3,29.9,39.5,46.3,25.1,35.5,54.3,,,,,,,,,,57.1,100.0,50.2,28.0,30.0,27.931034,30.0,27.0
2019-02-09 23:52:48,27.4,27.5,30.6,40.3,50.3,28.1,30.2,33.7,41.8,52.1,26.1,29.8,37.3,29.8,39.5,46.3,25.1,35.5,54.3,,,,,,,,,,57.0,100.0,50.2,28.0,30.0,27.9,30.0,27.0
2019-02-10 00:00:00,27.4,27.5,30.6,40.3,50.3,28.1,30.2,33.7,41.8,52.1,26.1,29.8,37.3,29.8,39.5,46.3,25.1,35.5,54.3,,,,,,,,,,57.0,100.0,50.2,28.0,30.0,27.9,30.0,27.0
2019-02-10 00:07:12,27.4,27.5,30.6,40.3,50.3,28.1,30.2,33.7,41.7,52.1,26.0,29.8,37.3,29.8,39.5,46.3,25.1,35.5,54.3,,,,,,,,,,56.8,100.0,50.1,28.0,30.0,28.0,30.0,27.0
2019-02-10 00:14:24,27.4,27.5,30.6,40.3,50.3,28.1,30.2,33.7,41.7,52.1,26.0,29.8,37.3,29.8,39.5,46.3,25.1,35.5,54.3,,,,,,,,,,56.8,100.0,50.1,28.0,30.0,28.0,30.0,27.0
2019-02-10 00:21:36,27.4,27.5,30.6,40.3,50.3,28.1,30.2,33.7,41.7,52.1,25.9,29.8,37.4,29.8,39.5,46.3,25.1,35.5,54.3,,,,,,,,,,56.6,100.0,50.1,28.0,30.0,27.916667,30.0,27.0
2019-02-10 00:28:48,27.4,27.5,30.6,40.3,50.3,28.1,30.2,33.7,41.7,52.1,25.9,29.8,37.4,29.8,39.5,46.3,25.1,35.5,54.3,,,,,,,,,,56.6,100.0,50.1,28.0,30.0,27.916667,30.0,27.0
2019-02-10 00:36:00,27.4,27.5,30.7,40.3,50.3,28.1,30.3,33.7,41.8,52.1,25.8,29.8,37.4,29.7,39.5,46.3,25.1,35.5,54.4,,,,,,,,,,56.5,100.0,50.1,28.0,30.0,27.958333,30.0,27.0
