,4146_MBUS Bmeters,4147_MBUS Bmeters,4150_MBUS Bmeters,4153_MBUS Bmeters,4155_MBUS Bmeters,4156_MBUS Bmeters,4157_MBUS Bmeters,4158_MBUS Bmeters,4159_MBUS Bmeters
,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,
2019-02-09 23:45:36,,,,,,,,,
2019-02-09 23:52:48,0.937,0.454,0.301,0.371,0.206,1.186,0.273,2.98,0.313
2019-02-10 00:00:00,0.937,0.454,0.301,0.371,0.206,1.186,0.273,2.98,0.313
2019-02-10 00:07:12,0.937,0.454,0.301,0.371,0.206,1.186,0.273,2.98,0.313
2019-02-10 00:14:24,0.937,0.454,0.301,0.371,0.206,1.186,0.273,2.98,0.313
2019-02-10 00:21:36,0.937,0.454,0.301,0.371,0.206,1.186,0.273,2.98,0.313
2019-02-10 00:28:48,0.937,0.454,0.301,0.371,0.206,1.186,0.273,2.98,0.313
2019-02-10 00:36:00,0.937,0.454,0.301,0.371,0.206,1.186,0.273,2.98,0.313
2019-02-10 00:43:12,0.937,0.454,0.301,0.371,0.206,1.186,0.273,2.98,0.313
2019-02-10 00:50:24,0.937,0.454,0.301,0.371,0.206,1.186,0.273,2.98,0.313
2019-02-10 00:57:36,0.937,0.454,0.301,0.371,0.206,1.186,0.273,2.98,0.313
2019-02-10 01:04:48,0.937,0.454,0.301,0.371,0.206,1.186,0.273,2.98,0.313
2019-02-10 01:12:00,0.937,0.454,0.301,0.371,0.206,1.186,0.273,2.98,0.313
2019-02-10 01:19:12,0.937,0.454,0.301,0.371,0.206,1.186,0.273,2.98,0.313
2019-02-10 01:26:24,0.937,0.454,0.301,0.371,0.206,1.186,0.273,2.98,0.313
2019-02-10 01:33:36,0.937,0.454,0.301,0.371,0.206,1.186,0.273,2.98,0.313
2019-02-10 01:40:48,0.937,0.454,0.301,0.371,0.206,1.186,0.273,2.98,0.313
2019-02-10 01:48:00,0.937,0.454,0.301,0.371,0.206,1.186,0.273,2.98,0.313
2019-02-10 01:55:12,0.937,0.454,0.301,0.371,0.206,1.186,0.273,2.98,0.313
2019-02-10 02:02:24,0.937,0.454,0.301,0.371,0.206,1.186,0.273,2.98,0.313
2019-02-10 02:09:36,0.937,0.454,0.301,0.371,0.206,1.186,0.273,2.98,0.313
