,1_APAR_30.1,13_APAR_33.4,17_APAR_34.5,5_APAR_31.2,649_FIF_11.11,9_APAR_32.3
,avg,avg,avg,avg,avg,avg
Time,,,,,,
2019-01-23 23:45:36,,1724.4,1724.4,1724.4,,1724.4
2019-01-23 23:52:48,,1724.4,1724.4,1724.4,,1724.4
2019-01-24 00:00:00,,1724.4,1724.4,1724.4,,1724.4
2019-01-24 00:07:12,,1724.4,1724.4,1724.4,,1724.4
2019-01-24 00:14:24,,1724.4,1724.4,1724.4,,1724.4
2019-01-24 00:21:36,,1724.4,1724.4,1724.4,,1724.4
2019-01-24 00:28:48,,1724.4,1724.4,1724.4,,1724.4
2019-01-24 00:36:00,,1724.4,1724.4,1724.4,,1724.4
2019-01-24 00:43:12,,1724.4,1724.4,1724.4,,1724.4
2019-01-24 00:50:24,,1724.4,1724.4,1724.4,,1724.4
2019-01-24 00:57:36,,1724.4,1724.4,1724.4,,1724.4
2019-01-24 01:04:48,,1724.4,1724.4,1724.4,,1724.4
2019-01-24 01:12:00,,1724.4,1724.4,1724.4,,1724.4
2019-01-24 01:19:12,,1724.4,1724.4,1724.4,,1724.4
2019-01-24 01:26:24,,1724.4,1724.4,1724.4,,1724.4
2019-01-24 01:33:36,,1724.4,1724.4,1724.4,,1724.4
2019-01-24 01:40:48,,1724.4,1724.4,1724.4,,1724.4
2019-01-24 01:48:00,,1724.4,1724.4,1724.4,,1724.4
2019-01-24 01:55:12,,1724.4,1724.4,1724.4,,1724.4
2019-01-24 02:02:24,,1724.4,923.8,1724.4,,1724.4
2019-01-24 02:09:36,,1724.4,923.8,1724.4,,1724.4
2019-01-24 02:16:48,,1724.4,81.0,1724.4,,1724.4
2019-01-24 02:24:00,,1724.4,81.0,1724.4,,1724.4
2019-01-24 02:31:12,,1724.4,81.0,1724.4,,1724.4
2019-01-24 02:38:24,,1724.4,81.0,1724.4,,1724.4
2019-01-24 02:45:36,,1724.4,81.0,1724.4,,1724.4
2019-01-24 02:52:48,,1724.4,81.0,1724.4,,1724.4
2019-01-24 03:00:00,,1724.4,81.0,1724.4,,1724.4
2019-01-24 03:07:12,,1724.4,81.0,1724.4,,1724.4
2019-01-24 03:14:24,,1724.4,81.0,1724.4,,1724.4
2019-01-24 03:21:36,,1724.4,80.9,1724.4,,1724.4
2019-01-24 03:28:48,,1724.4,80.9,1724.4,,1724.4
2019-01-24 03:36:00,,1724.4,80.9,1724.4,,1724.4
2019-01-24 03:43:12,,1724.4,80.9,1724.4,,1724.4
2019-01-24 03:50:24,,1724.4,80.9,1724.4,,1724.4
2019-01-24 03:57:36,,1724.4,80.9,1724.4,,1724.4
2019-01-24 04:04:48,,1724.4,80.9,1724.4,,1724.4
2019-01-24 04:12:00,,1724.4,80.9,1724.4,,1724.4
2019-01-24 04:19:12,,1724.4,80.9,1724.4,,1724.4
2019-01-24 04:26:24,,1724.4,80.9,1724.4,,1724.4
2019-01-24 04:33:36,,1724.4,80.9,1724.4,,1724.4
2019-01-24 04:40:48,,1724.4,80.9,1724.4,,1724.4
2019-01-24 04:48:00,,1724.4,80.9,1724.4,,1724.4
2019-01-24 04:55:12,,1724.4,80.9,1724.4,,1724.4
2019-01-24 05:02:24,,1724.4,80.9,1724.4,,1724.4
2019-01-24 05:09:36,,1724.4,80.9,1724.4,,1724.4
2019-01-24 05:16:48,,1724.4,80.8,1724.4,,1724.4
2019-01-24 05:24:00,,1724.4,80.8,1724.4,,1724.4
2019-01-24 05:31:12,,1724.4,80.8,1724.4,,1724.4
2019-01-24 05:38:24,,1724.4,80.8,1724.4,,1724.4
2019-01-24 05:45:36,,1724.4,80.8,1724.4,,1724.4
