,137_APAR_213.1,145_APAR_214.2,149_APAR_215.3,153_APAR_216.4,157_APAR_217.5,161_APAR_218.6,165_APAR_219.7,169_APAR_220.8,173_APAR_221.9,177_APAR_222.10,181_APAR_223.11,185_APAR_224.12,189_APAR_225.13,193_APAR_226.14,197_APAR_227.15,201_APAR_228.16,205_APAR_229.17,209_APAR_230.18,213_APAR_231.19,217_APAR_232.20,221_APAR_233.21,225_APAR_234.22,229_APAR_235.23,233_APAR_236.24,237_APAR_237.25,241_APAR_238.26,245_APAR_239.27,249_APAR_240.28,3809_APAR_16.16,3813_APAR_17.17,3817_APAR_18.18,657_FIF_203.3,659_FIF_204.4,661_FIF_205.5,663_FIF_206.6,665_FIF_207.7
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-01 23:45:36,20.9,20.5,19.6,15.3,11.6,20.2,19.6,18.0,14.5,10.4,27.1,22.9,19.7,24.3,19.6,16.2,26.4,19.3,10.4,,,,,,,,,,,,,23.9,23.3,21.9,24.6,22.3
2019-02-01 23:52:48,20.9,20.5,19.6,15.3,11.6,20.2,19.6,18.0,14.5,10.4,27.1,22.9,19.7,24.3,19.6,16.2,26.4,19.3,10.4,,,,,,,,,,7.8,9.9,12.9,23.9,23.3,21.9,24.6,22.3
2019-02-02 00:00:00,20.9,20.5,19.6,15.3,11.6,20.2,19.6,18.0,14.5,10.4,27.1,22.9,19.7,24.3,19.6,16.2,26.4,19.3,10.4,,,,,,,,,,7.7,9.9,12.9,23.9,23.3,21.9,24.6,22.3
2019-02-02 00:07:12,20.9,20.5,19.6,15.3,11.6,20.2,19.6,18.0,14.5,10.4,27.1,22.9,19.7,24.3,19.6,16.2,26.3,19.3,10.4,,,,,,,,,,7.7,9.9,12.9,23.9,23.3,21.9,24.6,22.3
2019-02-02 00:14:24,20.9,20.5,19.6,15.3,11.6,20.2,19.6,18.0,14.5,10.4,27.1,22.9,19.7,24.3,19.6,16.2,26.3,19.3,10.4,,,,,,,,,,7.7,9.9,12.9,23.9,23.3,21.9,24.6,22.3
2019-02-02 00:21:36,20.9,20.5,19.6,15.3,11.6,20.2,19.6,18.0,14.5,10.4,27.0,23.0,19.7,24.3,19.6,16.2,26.2,19.3,10.4,,,,,,,,,,7.7,9.9,12.9,23.9,23.4,22.0,24.6,22.4
2019-02-02 00:28:48,20.9,20.5,19.6,15.3,11.6,20.2,19.6,18.0,14.5,10.4,27.0,23.0,19.7,24.3,19.6,16.2,26.2,19.3,10.4,,,,,,,,,,7.7,9.9,12.9,23.9,23.4,22.0,24.6,22.4
2019-02-02 00:36:00,20.9,20.5,19.6,15.3,11.6,20.2,19.6,18.0,14.5,10.4,27.0,23.0,19.7,24.4,19.6,16.3,26.2,19.3,10.4,,,,,,,,,,7.7,9.9,12.9,24.0,23.4,22.0,24.6,22.4
