,253_APAR_314.14,257_APAR_315.15,261_APAR_316.16,265_APAR_317.17,269_APAR_318.18,273_APAR_319.19,277_APAR_320.20,281_APAR_321.21,285_APAR_322.22,289_APAR_323.23,293_APAR_324.24,297_APAR_325.25,301_APAR_326.26,667_FIF_304.4,669_FIF_305.5,671_FIF_306.6,673_FIF_310.10,675_FIF_311.11,677_FIF_312.12,679_FIF_313.13
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,,,,,
2019-01-14 23:45:36,20.2,19.5,18.7,11.2,-0.1,20.0,19.2,18.4,15.2,24.1,23.6,22.7,19.1,,,,,,,
2019-01-14 23:52:48,20.2,19.5,18.7,11.2,-0.0,20.0,19.2,18.4,15.2,24.1,23.6,22.7,19.1,,,,,,,
2019-01-15 00:00:00,20.2,19.5,18.7,11.2,-0.0,20.0,19.2,18.4,15.2,24.1,23.6,22.7,19.1,,,,,,,
2019-01-15 00:07:12,20.2,19.5,18.7,11.2,-0.0,20.0,19.2,18.4,15.2,24.1,23.6,22.7,19.0,,,,,,,
2019-01-15 00:14:24,20.2,19.5,18.7,11.2,-0.0,20.0,19.2,18.4,15.2,24.1,23.6,22.7,19.0,,,,,,,
2019-01-15 00:21:36,20.2,19.5,18.7,11.2,-0.0,20.0,19.2,18.4,15.2,24.0,23.6,22.7,19.0,,,,,,,
2019-01-15 00:28:48,20.2,19.5,18.7,11.2,-0.0,20.0,19.2,18.4,15.2,24.0,23.6,22.7,19.0,,,,,,,
2019-01-15 00:36:00,20.2,19.5,18.7,11.2,0.0,20.0,19.2,18.4,15.2,24.0,23.6,22.7,19.0,,,,,,,
2019-01-15 00:43:12,20.2,19.5,18.7,11.2,0.0,20.0,19.2,18.4,15.2,24.0,23.6,22.7,19.0,,,,,,,
2019-01-15 00:50:24,20.2,19.5,18.7,11.1,0.0,20.0,19.2,18.4,15.1,24.0,23.6,22.7,19.0,,,,,,,
2019-01-15 00:57:36,20.2,19.5,18.7,11.1,0.0,20.0,19.2,18.4,15.1,24.0,23.6,22.7,19.0,,,,,,,
2019-01-15 01:04:48,20.2,19.5,18.7,11.0,0.0,20.0,19.2,18.4,15.1,24.0,23.6,22.7,19.0,,,,,,,
2019-01-15 01:12:00,20.2,19.5,18.7,11.0,0.0,20.0,19.2,18.4,15.1,24.0,23.6,22.7,19.0,,,,,,,
