,4146_MBUS Bmeters,4147_MBUS Bmeters,4150_MBUS Bmeters,4153_MBUS Bmeters,4155_MBUS Bmeters,4156_MBUS Bmeters,4157_MBUS Bmeters,4158_MBUS Bmeters,4159_MBUS Bmeters
,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,
2019-01-14 23:45:36,,,,,,,,,
2019-01-14 23:52:48,0.618,0.269,0.194,0.189,0.093,0.943,0.093,1.783,0.123
2019-01-15 00:00:00,0.618,0.269,0.194,0.189,0.093,0.943,0.093,1.783,0.123
2019-01-15 00:07:12,0.618,0.269,0.194,0.189,0.093,0.943,0.093,1.783,0.123
2019-01-15 00:14:24,0.618,0.269,0.194,0.189,0.093,0.943,0.093,1.783,0.123
2019-01-15 00:21:36,0.618,0.269,0.194,0.189,0.093,0.943,0.093,1.783,0.123
2019-01-15 00:28:48,0.618,0.269,0.194,0.189,0.093,0.943,0.093,1.783,0.123
2019-01-15 00:36:00,0.618,0.269,0.194,0.189,0.093,0.943,0.093,1.783,0.123
2019-01-15 00:43:12,0.618,0.269,0.194,0.189,0.093,0.943,0.093,1.783,0.123
2019-01-15 00:50:24,0.618,0.269,0.194,0.189,0.093,0.943,0.093,1.783,0.123
2019-01-15 00:57:36,0.618,0.269,0.194,0.189,0.093,0.943,0.093,1.783,0.123
2019-01-15 01:04:48,0.618,0.269,0.194,0.189,0.093,0.943,0.093,1.783,0.123
2019-01-15 01:12:00,0.618,0.269,0.194,0.189,0.093,0.943,0.093,1.783,0.123
2019-01-15 01:19:12,0.618,0.269,0.194,0.189,0.093,0.943,0.093,1.783,0.123
2019-01-15 01:26:24,0.618,0.269,0.194,0.189,0.093,0.943,0.093,1.783,0.123
2019-01-15 01:33:36,0.618,0.269,0.194,0.189,0.093,0.943,0.093,1.783,0.123
2019-01-15 01:40:48,0.618,0.269,0.194,0.189,0.093,0.943,0.093,1.783,0.123
2019-01-15 01:48:00,0.618,0.269,0.194,0.189,0.093,0.943,0.093,1.783,0.123
2019-01-15 01:55:12,0.618,0.269,0.194,0.189,0.093,0.943,0.093,1.783,0.123
2019-01-15 02:02:24,0.618,0.269,0.194,0.189,0.093,0.943,0.093,1.783,0.123
2019-01-15 02:09:36,0.618,0.269,0.194,0.189,0.093,0.943,0.093,1.783,0.123
