id;plcid;title;addr;modbusAddr;type;dictid;value_format;multiplicator;shift;save_to_log;measureUnits;has_normal;normal_regid;normal_regid2;normal_dynamic_value;normal_binary_value;normal_binary_text;normal_color;normal_min_regid;normal_min_delta;normal_max_regid;normal_max_delta;normal_min_val;normal_max_val;has_disabled;disabled_regid;disabled_regid2;disabled_dynamic_value;disabled_binary_value;disabled_binary_text;disabled_color;disabled_min_regid;disabled_min_delta;disabled_max_regid;disabled_max_delta;disabled_min_val;disabled_max_val;has_warning;warning_regid;warning_regid2;warning_dynamic_value;warning_binary_value;warning_binary_text;warning_color;warning_min_regid;warning_min_delta;warning_max_regid;warning_max_delta;warning_min_val;warning_max_val;has_alert;alert_regid;alert_regid2;alert_dynamic_value;alert_binary_value;alert_binary_text;alert_color;alert_min_regid;alert_min_delta;alert_max_regid;alert_max_delta;alert_min_val;alert_max_val;timeformat;log_tolerance;precision_digits;min_log_interval;max_log_interval;max_graph_interval;max_allowed_value;min_allowed_value;rw_mode;min_reasonable_value;max_reasonable_value;save_graph_data;graph_interval;graph_color;disabled;nocloud;delta;delay;bitmask;words_order;time_duration;priority;cloud_log;cloud_rt;description;variable;category;alerts_enbl;alerts;cloud_sync;order_id;meter_type;meter_main;meter_cloud;meter_title;saved_value
4158;248;BMT_2_Woda Zimna;HR162;;3;0;5;;0.08;0;m3;0;0;0;0;1;;#34d357;;;;;;;0;0;0;0;0;;#cccccc;;;;;;;0;0;0;0;0;;#f0b518;;;;;;;0;0;0;0;0;;#ee434d;;;;;;;Y-m-d H:i:s;;3;;;;;;;;;1;15;#ed1c36;0;0;0;0;-1;1;0;0;0;0;;;;0;{};0;13;0;0;0;;
4159;248;BMT_7_Woda Ciepla;HR164;;3;0;5;;0.039;0;m3;0;0;0;0;1;;#34d357;;;;;;;0;0;0;0;0;;#cccccc;;;;;;;0;0;0;0;0;;#f0b518;;;;;;;0;0;0;0;0;;#ee434d;;;;;;;Y-m-d H:i:s;;3;;;;;;;;;1;15;#ed1c37;0;0;0;0;-1;1;0;0;0;0;;;;0;{};0;14;0;0;0;;
4240;247;7#Fabrication No (U0S0T0);HR2;;3;0;0;;;0;;0;0;0;0;1;;#34d357;;;;;;;0;0;0;0;0;;#cccccc;;;;;;;0;0;0;0;0;;#f0b518;;;;;;;0;0;0;0;0;;#ee434d;;;;;;;Y-m-d H:i:s;;;;;;;;;;;0;15;#0066b3;0;0;0;0;-1;0;0;0;0;0;;;;0;{};0;0;0;0;0;;
4241;247;7#Time Point Date (Type G) (U0S0T0);HR4;;2;0;0;;;0;;0;0;0;0;1;;#34d357;;;;;;;0;0;0;0;0;;#cccccc;;;;;;;0;0;0;0;0;;#f0b518;;;;;;;0;0;0;0;0;;#ee434d;;;;;;;Y-m-d H:i:s;;;;;;;;;;;0;15;#0066b3;0;0;0;0;-1;0;0;0;0;0;;;;0;{};0;1;0;0;0;;
4242;247;7#Error Flag (Binary) (U0S0T0);HR5;;2;0;0;;;0;;0;0;0;0;1;;#34d357;;;;;;;0;0;0;0;0;;#cccccc;;;;;;;0;0;0;0;0;;#f0b518;;;;;;;0;0;0;0;0;;#ee434d;;;;;;;Y-m-d H:i:s;;;;;;;;;;;0;15;#0066b3;0;0;0;0;-1;0;0;0;0;0;;;;0;{};0;2;0;0;0;;
4243;247;7#Energy J (U0S0T0);HR6;;3;0;0;0.0000001;;0;GJ;0;0;0;0;1;;#34d357;;;;;;;0;0;0;0;0;;#cccccc;;;;;;;0;0;0;0;0;;#f0b518;;;;;;;0;0;0;0;0;;#ee434d;;;;;;;Y-m-d H:i:s;;3;;;;;;;;;1;15;#0066b3;0;0;0;0;-1;1;0;0;0;0;;;;0;{};0;3;0;0;0;;
4244;247;7#Volume m3 (U0S0T0);HR9;;3;0;5;;;0;m3;0;0;0;0;1;;#34d357;;;;;;;0;0;0;0;0;;#cccccc;;;;;;;0;0;0;0;0;;#f0b518;;;;;;;0;0;0;0;0;;#ee434d;;;;;;;Y-m-d H:i:s;;;;;;;;;;;1;15;#f58220;0;0;0;0;-1;1;0;0;0;0;;;;0;{};0;6;0;0;0;;
4245;247;7#Volume Flow m3/h (U0S0T0);HR11;;2;0;0;0.001;;0;m3/h;0;0;0;0;1;;#34d357;;;;;;;0;0;0;0;0;;#cccccc;;;;;;;0;0;0;0;0;;#f0b518;;;;;;;0;0;0;0;0;;#ee434d;;;;;;;Y-m-d H:i:s;10;2;;;;;;;;;1;15;#f58221;0;0;0;0;-1;0;0;0;0;0;;;;0;{};0;7;0;0;0;;
4246;247;7#Power W (U0S0T0);HR12;;2;0;0;0.1;;0;W;0;0;0;0;1;;#34d357;;;;;;;0;0;0;0;0;;#cccccc;;;;;;;0;0;0;0;0;;#f0b518;;;;;;;0;0;0;0;0;;#ee434d;;;;;;;Y-m-d H:i:s;10;2;;;;;;;;;1;15;#f58222;0;0;0;0;-1;0;0;0;0;0;;;;0;{};0;8;0;0;0;;
4247;247;7#Flow Temperature �C (U0S0T0);HR13;;2;0;0;0.1;;0;C;0;0;0;0;1;;#34d357;;;;;;;0;0;0;0;0;;#cccccc;;;;;;;0;0;0;0;0;;#f0b518;;;;;;;0;0;0;0;0;;#ee434d;;;;;;;Y-m-d H:i:s;10;2;;;;;;;;;1;15;#f58223;0;0;0;0;-1;0;0;0;0;0;;;;0;{};0;9;0;0;0;;
