x,648,APAR_30.1,APAR_31.2,APAR_32.3,APAR_33.4,APAR_34.5
2019-01-15--19:37:00,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--19:40:36,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--19:44:12,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--19:47:48,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--19:51:24,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--19:55:00,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--19:58:36,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--20:02:12,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--20:05:48,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--20:09:24,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--20:13:00,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--20:16:36,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--20:20:12,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--20:23:48,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--20:27:24,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--20:31:00,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--20:34:36,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--20:38:12,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--20:41:48,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--20:45:24,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--20:49:00,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--20:52:36,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--20:56:12,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--20:59:48,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--21:03:24,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--21:07:00,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--21:10:36,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--21:14:12,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--21:17:48,NaN,12.6,0.0,0.0,3.9,0.0
2019-01-15--21:21:24,NaN,12.6,0.0,0.0,3.9,0.0
2019-01-15--21:25:00,NaN,12.6,0.0,0.0,3.9,0.0
2019-01-15--21:28:36,NaN,12.6,0.0,0.0,3.9,0.0
2019-01-15--21:32:12,NaN,12.6,0.0,0.0,3.9,0.0
2019-01-15--21:35:48,NaN,12.6,0.0,0.0,3.9,0.0
2019-01-15--21:39:24,NaN,12.6,0.0,0.0,3.9,0.0
2019-01-15--21:43:00,NaN,12.6,0.0,0.0,3.9,0.0
2019-01-15--21:46:36,NaN,12.6,0.0,0.0,3.9,0.0
2019-01-15--21:50:12,NaN,12.6,0.0,0.0,3.9,0.0
2019-01-15--21:53:48,NaN,12.6,0.0,0.0,3.9,0.0
2019-01-15--21:57:24,NaN,12.6,0.0,0.0,3.9,0.0
2019-01-15--22:01:00,NaN,12.6,0.0,0.0,3.9,0.0
2019-01-15--22:04:36,NaN,12.6,0.0,0.0,3.9,0.0
2019-01-15--22:08:12,NaN,12.6,0.0,0.0,3.9,0.0
2019-01-15--22:11:48,NaN,12.6,0.0,0.0,3.9,0.0
2019-01-15--22:15:24,NaN,12.6,0.0,0.0,4.0,0.0
2019-01-15--22:19:00,NaN,12.6,0.0,0.0,4.0,0.0
2019-01-15--22:22:36,NaN,12.6,0.0,0.0,4.0,0.0
2019-01-15--22:26:12,NaN,12.6,0.0,0.0,4.0,0.0
2019-01-15--22:29:48,NaN,12.6,0.0,0.0,4.0,0.0
2019-01-15--22:33:24,NaN,12.7,0.0,0.0,4.0,0.0
2019-01-15--22:37:00,NaN,12.7,0.0,0.0,4.0,0.0
2019-01-15--22:40:36,NaN,12.7,0.0,0.0,4.0,0.0
2019-01-15--22:44:12,NaN,12.7,0.0,0.0,4.0,0.0
2019-01-15--22:47:48,NaN,12.7,0.0,0.0,4.0,0.0
2019-01-15--22:51:24,NaN,NaN,0.0,0.0,NaN,0.0
